	Trial	Variance	Anisotropy	Domain	Regime	Time_series	Chem	Delay	Memory	Crosscorrelation	fraction	Time
176	39	0.1	10	Original	Slow	5	Immobile active aerobic degraders	0	205	0.9809124569323614	0.9878048780487804	202.5
177	39	0.1	10	Original	Slow	5	Immobile active nitrate reducers	25	240	0.9850229305503865	0.9878048780487804	202.5
178	39	0.1	10	Original	Slow	5	Immobile active sulphate reducers	395	60	0.7047252898068369	0.9878048780487804	202.5
179	39	0.1	10	Original	Slow	5	Immobile active ammonia oxidizers	30	250	0.9518772712562898	0.9878048780487804	202.5
180	39	0.1	10	Original	Slow	5	Mobile active aerobic degraders	15	0	-0.7430275411539145	0.9878048780487804	202.5
181	39	0.1	10	Original	Slow	5	Mobile active nitrate reducers	170	0	-0.7180564520222817	0.9878048780487804	202.5
182	39	0.1	10	Original	Slow	5	Mobile active sulphate reducers	0	160	0.9856469179728583	0.9878048780487804	202.5
183	39	0.1	10	Original	Slow	5	Mobile active ammonia oxidizers	15	150	0.8289203174859916	0.9878048780487804	202.5
184	39	0.1	10	Original	Slow	5	Immobile inactive aerobic degraders	155	0	-0.9087900435171627	0.9878048780487804	202.5
185	39	0.1	10	Original	Slow	5	Immobile inactive nitrate reducers	10	0	-0.8423876260404193	0.9878048780487804	202.5
186	39	0.1	10	Original	Slow	5	Immobile inactive sulphate reducers	270	325	0.8537172184218317	0.9878048780487804	202.5
187	39	0.1	10	Original	Slow	5	Immobile inactive ammonia oxidizers	720	0	0.479323416342065	0.9878048780487804	202.5
188	39	0.1	10	Original	Slow	5	Mobile inactive aerobic degraders	165	0	-0.8592428128660597	0.9878048780487804	202.5
189	39	0.1	10	Original	Slow	5	Mobile inactive nitrate reducers	155	0	-0.8580400364452944	0.9878048780487804	202.5
190	39	0.1	10	Original	Slow	5	Mobile inactive sulphate reducers	70	0	-0.7159197149836308	0.9878048780487804	202.5
191	39	0.1	10	Original	Slow	5	Mobile inactive ammonia oxidizers	30	0	-0.7988729738810535	0.9878048780487804	202.5
192	40	1.0	2	Original	Slow	1	Immobile active aerobic degraders	0	55	0.9828148161004747	0.8170731707317073	167.5
193	40	1.0	2	Original	Slow	1	Immobile active nitrate reducers	15	70	0.9581233124045755	0.8170731707317073	167.5
194	40	1.0	2	Original	Slow	1	Immobile active sulphate reducers	0	15	0.8095295794187696	0.8170731707317073	167.5
195	40	1.0	2	Original	Slow	1	Immobile active ammonia oxidizers	20	65	0.9488494931190736	0.8170731707317073	167.5
196	40	1.0	2	Original	Slow	1	Mobile active aerobic degraders	20	0	-0.7873859973488486	0.8170731707317073	167.5
197	40	1.0	2	Original	Slow	1	Mobile active nitrate reducers	185	0	-0.6765218559142782	0.8170731707317073	167.5
198	40	1.0	2	Original	Slow	1	Mobile active sulphate reducers	0	45	0.9937129701551832	0.8170731707317073	167.5
199	40	1.0	2	Original	Slow	1	Mobile active ammonia oxidizers	10	45	0.9577190398440176	0.8170731707317073	167.5
200	40	1.0	2	Original	Slow	1	Immobile inactive aerobic degraders	65	0	-0.7008337230762174	0.8170731707317073	167.5
201	40	1.0	2	Original	Slow	1	Immobile inactive nitrate reducers	15	0	-0.9427845403383978	0.8170731707317073	167.5
202	40	1.0	2	Original	Slow	1	Immobile inactive sulphate reducers	165	0	0.5838273734712865	0.8170731707317073	167.5
203	40	1.0	2	Original	Slow	1	Immobile inactive ammonia oxidizers	10	0	-0.8899918770653132	0.8170731707317073	167.5
204	40	1.0	2	Original	Slow	1	Mobile inactive aerobic degraders	130	0	-0.599034281913179	0.8170731707317073	167.5
205	40	1.0	2	Original	Slow	1	Mobile inactive nitrate reducers	105	0	-0.6097271483817878	0.8170731707317073	167.5
206	40	1.0	2	Original	Slow	1	Mobile inactive sulphate reducers	85	0	-0.8152459820702449	0.8170731707317073	167.5
207	40	1.0	2	Original	Slow	1	Mobile inactive ammonia oxidizers	20	0	-0.942452226354538	0.8170731707317073	167.5
208	40	1.0	2	Original	Slow	2	Immobile active aerobic degraders	0	190	0.9928309989904097	0.8170731707317073	167.5
209	40	1.0	2	Original	Slow	2	Immobile active nitrate reducers	15	230	0.9832527125941102	0.8170731707317073	167.5
210	40	1.0	2	Original	Slow	2	Immobile active sulphate reducers	285	295	0.7967097188226102	0.8170731707317073	167.5
211	40	1.0	2	Original	Slow	2	Immobile active ammonia oxidizers	20	250	0.9765097249399628	0.8170731707317073	167.5
212	40	1.0	2	Original	Slow	2	Mobile active aerobic degraders	25	0	-0.8020959364158179	0.8170731707317073	167.5
213	40	1.0	2	Original	Slow	2	Mobile active nitrate reducers	255	0	-0.8565390489346112	0.8170731707317073	167.5
214	40	1.0	2	Original	Slow	2	Mobile active sulphate reducers	0	165	0.9969075536686245	0.8170731707317073	167.5
215	40	1.0	2	Original	Slow	2	Mobile active ammonia oxidizers	10	160	0.9811085969779701	0.8170731707317073	167.5
216	40	1.0	2	Original	Slow	2	Immobile inactive aerobic degraders	180	0	-0.8617177896909384	0.8170731707317073	167.5
217	40	1.0	2	Original	Slow	2	Immobile inactive nitrate reducers	10	0	-0.9435346927511147	0.8170731707317073	167.5
218	40	1.0	2	Original	Slow	2	Immobile inactive sulphate reducers	350	355	0.8304092407045882	0.8170731707317073	167.5
219	40	1.0	2	Original	Slow	2	Immobile inactive ammonia oxidizers	970	0	0.6427593232537809	0.8170731707317073	167.5
220	40	1.0	2	Original	Slow	2	Mobile inactive aerobic degraders	270	0	-0.8461677678008465	0.8170731707317073	167.5
221	40	1.0	2	Original	Slow	2	Mobile inactive nitrate reducers	255	0	-0.8434521875507554	0.8170731707317073	167.5
222	40	1.0	2	Original	Slow	2	Mobile inactive sulphate reducers	100	0	-0.8848458902783932	0.8170731707317073	167.5
223	40	1.0	2	Original	Slow	2	Mobile inactive ammonia oxidizers	15	0	-0.930638664976267	0.8170731707317073	167.5
224	40	1.0	2	Original	Slow	5	Immobile active aerobic degraders	0	215	0.9938040202731272	0.8170731707317073	167.5
225	40	1.0	2	Original	Slow	5	Immobile active nitrate reducers	20	255	0.9855707733302314	0.8170731707317073	167.5
226	40	1.0	2	Original	Slow	5	Immobile active sulphate reducers	135	350	0.8611182913969821	0.8170731707317073	167.5
227	40	1.0	2	Original	Slow	5	Immobile active ammonia oxidizers	25	270	0.9796952982001419	0.8170731707317073	167.5
228	40	1.0	2	Original	Slow	5	Mobile active aerobic degraders	25	0	-0.7894263311437751	0.8170731707317073	167.5
229	40	1.0	2	Original	Slow	5	Mobile active nitrate reducers	265	0	-0.843956192710107	0.8170731707317073	167.5
230	40	1.0	2	Original	Slow	5	Mobile active sulphate reducers	0	190	0.9971590188434664	0.8170731707317073	167.5
231	40	1.0	2	Original	Slow	5	Mobile active ammonia oxidizers	10	185	0.9828523514861541	0.8170731707317073	167.5
232	40	1.0	2	Original	Slow	5	Immobile inactive aerobic degraders	155	0	-0.8987107642248845	0.8170731707317073	167.5
233	40	1.0	2	Original	Slow	5	Immobile inactive nitrate reducers	10	0	-0.9338795496351772	0.8170731707317073	167.5
234	40	1.0	2	Original	Slow	5	Immobile inactive sulphate reducers	230	320	0.8694731649025925	0.8170731707317073	167.5
235	40	1.0	2	Original	Slow	5	Immobile inactive ammonia oxidizers	500	0	0.5464852583329642	0.8170731707317073	167.5
236	40	1.0	2	Original	Slow	5	Mobile inactive aerobic degraders	235	0	-0.8546061871208115	0.8170731707317073	167.5
237	40	1.0	2	Original	Slow	5	Mobile inactive nitrate reducers	225	0	-0.8628581156793406	0.8170731707317073	167.5
